symbol,open,high,low,close,volume,open_interest,turnover,settle,pre_settle
IC2206,6159.0,6214.0,6090.0,6190.0,90882,142672.0,11189989.544,6170.6,6153.2
IC2207,6097.0,6158.8,6041.2,6137.8,14894,32310.0,1818587.128,6115.8,6099.0
IC2209,6043.0,6068.0,5950.0,6046.8,25322,121174.0,3044674.184,6027.0,6009.6
IC2212,5894.2,5950.0,5836.2,5935.8,12544,60990.0,1479667.256,5911.8,5893.4
IF2206,4167.6,4209.4,4143.0,4202.6,91862,125025.0,11511377.406,4191.4,4157.6
IF2207,4130.0,4173.2,4110.0,4167.2,7830,16071.0,972492.642,4155.6,4122.6
IF2209,4100.0,4145.0,4080.8,4137.2,18435,63240.0,2275191.462,4127.0,4095.0
IF2212,4083.2,4129.2,4066.0,4120.0,6049,17070.0,743615.898,4109.0,4080.0
IH2206,2843.4,2884.2,2841.0,2870.8,42381,58687.0,3634823.064,2864.2,2840.8
IH2207,2809.8,2847.8,2805.8,2835.4,5891,11479.0,499104.684,2826.8,2805.2
IH2209,2799.8,2838.0,2796.2,2824.4,13228,33057.0,1116825.9,2818.0,2796.0
IH2212,2805.0,2836.8,2797.6,2825.6,3723,10483.0,314112.12,2817.6,2793.8
T2206,101.06,101.06,101.06,101.06,5,83.0,505.3,101.06,101.055
T2209,100.375,100.475,100.34,100.38,47326,161667.0,4751317.62,100.385,100.395
T2212,99.975,100.105,99.975,100.03,1154,8756.0,115435.795,100.015,100.02
TF2206,0.0,0.0,0.0,101.755,0,1070.0,0.0,101.82,101.81
TF2209,101.345,101.42,101.315,101.355,31423,106012.0,3185310.97,101.355,101.345
TF2212,101.035,101.145,101.035,101.095,370,2015.0,37404.675,101.08,101.085
TS2206,101.24,101.25,101.235,101.235,26,557.0,5264.3,101.235,101.225
TS2209,100.99,101.02,100.97,100.99,15189,44098.0,3067944.63,100.99,100.97
TS2212,100.88,100.92,100.88,100.89,143,1174.0,28856.51,100.895,100.885
