symbol,open,high,low,close,volume,open_interest,turnover,settle,pre_settle
AP210,8983.0,8994.0,8782.0,8802.0,174037,153121,1545011.8,8877.0,8988.0
AP211,8807.0,8836.0,8662.0,8682.0,1070,23869,9358.57,8746.0,8827.0
AP212,8876.0,8949.0,8787.0,8803.0,835,24131,7403.19,8866.0,8962.0
AP301,9100.0,9128.0,8970.0,8999.0,14242,62599,128821.5,9045.0,9121.0
AP303,9173.0,9240.0,9049.0,9116.0,1218,22142,11143.68,9149.0,9219.0
AP304,9377.0,9377.0,9189.0,9234.0,101,11022,936.26,9270.0,9346.0
AP305,9567.0,9583.0,9480.0,9512.0,2020,8280,19264.16,9537.0,9583.0
CF207,20190.0,20330.0,20190.0,20270.0,7478,16293,75689.16,20245.0,20430.0
CF209,20300.0,20370.0,20240.0,20320.0,135385,332894,1374435.02,20305.0,20445.0
CF211,20080.0,20155.0,20050.0,20120.0,13497,51446,135649.29,20100.0,20185.0
CF301,19950.0,20050.0,19935.0,20005.0,23532,84817,235178.12,19990.0,20080.0
CF303,19880.0,19950.0,19845.0,19905.0,1831,7210,18213.98,19895.0,19990.0
CF305,19715.0,19790.0,19690.0,19725.0,224,382,2208.22,19715.0,19690.0
CJ207,11100.0,11165.0,11000.0,11010.0,297,2989,1644.46,11075.0,11180.0
CJ209,11410.0,11485.0,11265.0,11310.0,10272,36912,58317.3,11355.0,11525.0
CJ212,12215.0,12235.0,12070.0,12095.0,206,1154,1252.44,12160.0,12250.0
CJ301,12325.0,12370.0,12165.0,12175.0,1742,9269,10659.29,12240.0,12425.0
CJ303,12270.0,12270.0,12160.0,12195.0,58,580,354.41,12220.0,12350.0
CJ305,12415.0,12420.0,12320.0,12330.0,20,448,123.94,12395.0,12550.0
CY206,0.0,0.0,0.0,0.0,0,0,0.0,25545.0,25800.0
CY207,0.0,0.0,0.0,0.0,0,0,0.0,26455.0,26455.0
CY208,0.0,0.0,0.0,0.0,0,0,0.0,26480.0,26480.0
CY209,26750.0,26790.0,26405.0,26525.0,1239,2432,16461.98,26575.0,26840.0
CY210,0.0,0.0,0.0,0.0,0,0,0.0,26655.0,26655.0
CY211,0.0,0.0,0.0,0.0,0,0,0.0,26560.0,26560.0
CY212,0.0,0.0,0.0,0.0,0,0,0.0,26365.0,26365.0
CY301,26360.0,26360.0,26305.0,26320.0,10,159,131.68,26335.0,26570.0
CY302,0.0,0.0,0.0,0.0,0,1,0.0,26735.0,26735.0
CY303,0.0,0.0,0.0,0.0,0,0,0.0,26135.0,26135.0
CY304,0.0,0.0,0.0,0.0,0,1,0.0,26370.0,26370.0
CY305,0.0,0.0,0.0,0.0,0,1,0.0,26280.0,26280.0
FG206,0.0,0.0,0.0,0.0,133,667,473.48,1769.0,1762.0
FG207,1746.0,1786.0,1746.0,1783.0,429,1233,1518.14,1769.0,1757.0
FG208,1832.0,1868.0,1831.0,1851.0,758,12788,2789.92,1840.0,1837.0
FG209,1827.0,1858.0,1818.0,1842.0,1131477,1021088,4152158.66,1835.0,1825.0
FG210,1847.0,1878.0,1841.0,1868.0,302,8404,1121.35,1857.0,1847.0
FG211,1833.0,1858.0,1829.0,1841.0,4110,15288,15197.51,1849.0,1839.0
FG212,1863.0,1892.0,1863.0,1882.0,1366,15376,5103.68,1868.0,1872.0
FG301,1859.0,1879.0,1851.0,1871.0,49000,141946,182598.01,1863.0,1857.0
FG302,1877.0,1899.0,1873.0,1892.0,5181,26554,19533.68,1885.0,1857.0
FG303,1864.0,1890.0,1864.0,1881.0,3169,21683,11916.25,1880.0,1869.0
FG304,1887.0,1899.0,1879.0,1893.0,72,9502,272.51,1892.0,1881.0
FG305,1876.0,1893.0,1868.0,1885.0,666,5423,2507.44,1882.0,1875.0
JR207,0.0,0.0,0.0,0.0,0,0,0.0,2893.0,2893.0
JR209,0.0,0.0,0.0,0.0,0,0,0.0,2934.0,2934.0
JR211,0.0,0.0,0.0,0.0,0,0,0.0,2707.0,2707.0
JR301,2833.0,2833.0,2833.0,2833.0,1,16,5.67,2833.0,2833.0
JR303,0.0,0.0,0.0,0.0,0,0,0.0,2774.0,2774.0
JR305,0.0,0.0,0.0,0.0,0,0,0.0,2774.0,2774.0
LR207,2595.0,2595.0,2595.0,2595.0,2,32,10.38,2595.0,2595.0
LR209,0.0,0.0,0.0,0.0,0,0,0.0,2416.0,2416.0
LR211,0.0,0.0,0.0,0.0,0,0,0.0,2416.0,2416.0
LR301,0.0,0.0,0.0,0.0,0,0,0.0,2585.0,2585.0
LR303,0.0,0.0,0.0,0.0,0,0,0.0,2416.0,2416.0
LR305,0.0,0.0,0.0,0.0,0,0,0.0,2416.0,2416.0
MA206,2811.0,2900.0,2681.0,2703.0,109,1066,308.84,2833.0,2838.0
MA207,2829.0,2894.0,2824.0,2879.0,9876,28852,28123.11,2848.0,2817.0
MA208,2848.0,2933.0,2848.0,2910.0,85537,347248,248110.62,2901.0,2855.0
MA209,2885.0,2961.0,2876.0,2945.0,1496983,1051274,4388160.23,2931.0,2880.0
MA210,2900.0,2974.0,2888.0,2961.0,62436,193102,183679.76,2942.0,2893.0
MA211,2907.0,2991.0,2901.0,2978.0,13386,69146,39674.28,2964.0,2905.0
MA212,2947.0,3070.0,2947.0,3029.0,466,25405,1392.25,2988.0,2960.0
MA301,2978.0,3062.0,2975.0,3053.0,29585,122230,89656.77,3030.0,2971.0
MA302,2937.0,3065.0,2937.0,3024.0,2483,33832,7335.21,2954.0,2928.0
MA303,2911.0,3012.0,2911.0,3001.0,509,4265,1482.39,2912.0,2901.0
MA304,2896.0,2970.0,2895.0,2964.0,590,7672,1749.38,2965.0,2856.0
MA305,2895.0,2976.0,2892.0,2965.0,299,711,880.66,2945.0,2894.0
OI207,14556.0,14832.0,14527.0,14730.0,3827,8284,56117.48,14664.0,14490.0
OI209,14200.0,14538.0,14175.0,14444.0,170105,174577,2444419.3,14370.0,14137.0
